"team","total_unique_athletes","total_olympic_participations","total_gold_medals","total_silver_medals","total_bronze_medals","total_medals","first_year_of_participation","last_year_of_participation"
"Spirit III",1,1,0,0,0,0,1956,1956
"Sri Lanka",22,41,0,0,0,0,1948,2016
"St. Margrite",1,1,0,0,0,0,1948,1948
"Starlight III",1,1,0,0,0,0,1956,1956
"Struten",1,1,0,0,0,0,1960,1960
"Studenternes Roklub-2",3,3,0,0,0,0,1912,1912
"Sudan",36,46,0,0,0,0,1960,2016
"Suriname",10,19,0,0,0,0,1972,2004
"Suzy-2",2,2,0,0,0,0,1920,1920
"Swaziland",9,13,0,0,0,0,1984,2008
"Sydney Rowing Club",1,1,0,0,0,0,1912,1912
"Tajamar",1,1,0,0,0,0,1960,1960
"Teresita",2,2,0,0,0,0,1952,1952
"Terrible",1,1,0,0,0,0,1960,1960
"Thalatta",2,2,0,0,0,0,1952,1952
"The Cloud",2,2,0,0,0,0,1948,1948
"Tichiboo",1,1,0,0,0,0,1956,1956
"Tilly",1,1,0,0,0,0,1956,1956
"Tim-Tam III",2,2,0,0,0,0,1952,1952
"Timor Leste",3,3,0,0,0,0,2004,2016
"Tom Kyle",1,1,0,0,0,0,1952,1952
"Tonga",3,3,0,0,0,0,1988,2016
"Tornade-16",1,1,0,0,0,0,1900,1900
"Tournade-40",1,1,0,0,0,0,1900,1900
"Trickson VI",2,2,0,0,0,0,1952,1952
"Trintel II",1,1,0,0,0,0,1960,1960
"Tu-Fri",1,1,0,0,0,0,1952,1952
"Turkmenistan",9,14,0,0,0,0,1996,2016
"Turnverein Vorwrts, Chicago",1,1,0,0,0,0,1904,1904
"Turnverein Vorwrts, Cleveland",1,1,0,0,0,0,1904,1904
"Tuvalu",1,1,0,0,0,0,2008,2008
"Twins II",1,1,0,0,0,0,1928,1928
"Twins VIII",2,2,0,0,0,0,1956,1956
"Ukraine-2",7,7,0,0,0,0,1994,2008
"Umberta V",1,1,0,0,0,0,1964,1964
"Unique",1,1,0,0,0,0,1952,1952
"United States-10",1,1,0,0,0,0,1904,1904
"United States-14",1,1,0,0,0,0,1904,1904
"United States-3",9,11,0,0,0,0,1972,2014
"United States-6",1,1,0,0,0,0,1904,1904
"United States-7",1,1,0,0,0,0,1904,1904
"United States-9",1,1,0,0,0,0,1904,1904
"United States Virgin Islands",31,64,0,0,0,0,1968,2016
"United States Virgin Islands-1",2,2,0,0,0,0,1992,1992
"United States Virgin Islands-2",2,2,0,0,0,0,1992,1992
"Unknown",1,1,0,0,0,0,1912,1912
"Uragan",1,1,0,0,0,0,1952,1952
"Vanuatu",4,7,0,0,0,0,1988,2012
"Vaxholm Roddklubb",1,1,0,0,0,0,1912,1912
"Vesania",2,2,0,0,0,0,1960,1960
"Vicking",1,1,0,0,0,0,1936,1936
"Vietnam",12,19,0,0,0,0,1980,2016
"Viking",1,1,0,0,0,0,1956,1956
"Vinha",1,1,0,0,0,0,1952,1952
"Virginie",1,1,0,0,0,0,1952,1952
"Web III",1,1,0,0,0,0,1964,1964
"West Germany-2",8,10,0,0,0,0,1968,1988
"West Indies Federation",3,3,0,0,0,0,1960,1960
"Whitini Star",1,1,0,0,0,0,2008,2008
"Wiking",1,1,0,0,0,0,1936,1936
"Wolseley-Siddeley-1",2,2,0,0,0,0,1908,1908
"Xolotl",3,3,0,0,0,0,1964,1964
"Yangon",1,1,0,0,0,0,1960,1960
"Yemen",19,22,0,0,0,0,1992,2016
"Yeoman VII",1,1,0,0,0,0,1960,1960
"Yeoman XII",2,2,0,0,0,0,1964,1964
"Ylliam II",3,3,0,0,0,0,1936,1936
"Ylliam VII",2,2,0,0,0,0,1948,1948
"Ylliam VIII",2,2,0,0,0,0,1952,1952
"Yugoslavia-1",1,1,0,0,0,0,1972,1972
"Zambia",37,43,0,0,0,0,1964,2016
"Nina Claire-30",3,3,0,0,0,0,1900,1900
"Acipactli",1,1,0,0,0,0,1964,1964
"Acturus",1,1,0,0,0,0,1948,1948
"Afghanistan",30,38,0,0,0,0,1936,2016
"Akatonbo",1,1,0,0,0,0,1964,1964
"Albania",8,11,0,0,0,0,1992,2016
"Aldebaran",1,1,0,0,0,0,1964,1964
"Aldebaran II",1,1,0,0,0,0,1960,1960
"Aletta",1,1,0,0,0,0,1960,1960
"Ali-Baba IV",2,2,0,0,0,0,1952,1952
"Ali-Baba IX",2,2,0,0,0,0,1964,1964
"Ali-Baba VI",2,2,0,0,0,0,1960,1960
"Allegro",2,2,0,0,0,0,1948,1948
"American Samoa",6,7,0,0,0,0,1988,2012
"Amolgavar",1,1,0,0,0,0,1924,1924
"Andorinha",2,2,0,0,0,0,1948,1948
"Andorra",14,39,0,0,0,0,1976,2016
"Angola",70,111,0,0,0,0,1980,2016
"Anitra",2,2,0,0,0,0,1936,1936
"Antares",1,1,0,0,0,0,1948,1948
"Antigua and Barbuda",17,35,0,0,0,0,1976,2016
"Apache",1,1,0,0,0,0,1948,1948
"Arcturus",1,1,0,0,0,0,1952,1952
"Argentina-1",6,6,0,0,0,0,1924,2016
"Argentina-2",9,9,0,0,0,0,1924,2016
"Argus",2,2,0,0,0,0,1948,1948
"Ariel",1,1,0,0,0,0,1948,1948
"Aruba",5,9,0,0,0,0,1988,2004
"Aschenbrodel",1,1,0,0,0,0,1900,1900
"Athens-2",3,3,0,0,0,0,1906,1906
"Augsburg",1,1,0,0,0,0,1936,1936
"Ausonia",3,3,0,0,0,0,1948,1948
"Australia-2",9,10,0,0,0,0,1996,2016
"Babe",2,2,0,0,0,0,1928,1928
"Baccara",2,2,0,0,0,0,1960,1960
"Bahrain",48,68,0,0,0,0,1984,2016
"Bamba",3,3,0,0,0,0,1928,1928
"Bangladesh",13,23,0,0,0,0,1984,2016
"Barbados",36,72,0,0,0,0,1968,2016
"Beaver",2,2,0,0,0,0,1956,1960
"Belarus-1",1,1,0,0,0,0,2008,2008
"Belgium-1",9,11,0,0,0,0,1900,1952
"Belgium-2",6,6,0,0,0,0,1920,1952
"Belgium-4",2,2,0,0,0,0,1920,1920
"Belize",9,11,0,0,0,0,1968,2004
"Bella",1,1,0,0,0,0,1960,1960
"Benin",28,40,0,0,0,0,1972,2016
