"year","name","team","sport","event"
2012,"Matteo Aicardi","Italy","Water Polo","Water Polo Men's Water Polo"
2012,"Neringa Aidietyt","Lithuania","Athletics","Athletics Women's 20 kilometres Walk"
2012,"Hannes Aigner","Germany","Canoeing","Canoeing Men's Kayak Singles, Slalom"
2012,"Charles Benedict ""Ben"" Ainslie","Great Britain","Sailing","Sailing Men's One Person Heavyweight Dinghy"
2012,"Tassadit Assou","Algeria","Volleyball","Volleyball Women's Volleyball"
2012,"Zied Ait Ouagram","Tunisia","Wrestling","Wrestling Men's Middleweight, Greco-Roman"
2012,"Souad At Salem (-Mahour-Bacha)","Algeria","Athletics","Athletics Women's Marathon"
2012,"Artur Surenovych Aivazian","Ukraine","Shooting","Shooting Men's Air Rifle, 10 metres"
2012,"Artur Surenovych Aivazian","Ukraine","Shooting","Shooting Men's Small-Bore Rifle, Three Positions, 50 metres"
2012,"Artur Surenovych Aivazian","Ukraine","Shooting","Shooting Men's Small-Bore Rifle, Prone, 50 metres"
2012,"Muideen Akanji","Nigeria","Boxing","Boxing Men's Middleweight"
2012,"Tolga Aslan Akcayli","Saint Vincent and the Grenadines","Swimming","Swimming Men's 50 metres Freestyle"
2012,"Tark Langat Akda","Turkey","Athletics","Athletics Men's 3,000 metres Steeplechase"
2012,"Ahmet Akdilek","Turkey","Cycling","Cycling Men's Road Race, Individual"
2012,"Ahmet Akdilek","Turkey","Cycling","Cycling Men's Individual Time Trial"
2012,"Taha Akgl","Turkey","Wrestling","Wrestling Men's Super-Heavyweight, Freestyle"
2012,"Giorgos Akhilleos","Cyprus","Shooting","Shooting Men's Skeet"
2012,"Habibollah Jomeh Akhlaghi","Iran","Wrestling","Wrestling Men's Light-Heavyweight, Greco-Roman"
2012,"Artur Kamilevich Akhmatkhuzin","Russia","Fencing","Fencing Men's Foil, Individual"
2012,"Artur Kamilevich Akhmatkhuzin","Russia","Fencing","Fencing Men's Foil, Team"
2012,"Foluke Antinuke Akinradewo","United States","Volleyball","Volleyball Women's Volleyball"
2012,"Jonathan Akinyemi","Nigeria","Canoeing","Canoeing Men's Kayak Singles, Slalom"
2012,"Malika Al-Akkaoui","Morocco","Athletics","Athletics Women's 800 metres"
2012,"Youssef Akrout","Tunisia","Sailing","Sailing Men's One Person Dinghy"
2012,"Chie Akutsu","Japan","Hockey","Hockey Women's Hockey"
2012,"Noah Akwu","Nigeria","Athletics","Athletics Men's 200 metres"
2012,"Ali Ahmed Al-Amri","Saudi Arabia","Athletics","Athletics Men's 3,000 metres Steeplechase"
2012,"Dhaher Al-Aryani","United Arab Emirates","Shooting","Shooting Men's Trap"
2012,"Yousef Al-Askari","Kuwait","Swimming","Swimming Men's 200 metres Butterfly"
2012,"Rashid Salih Hamad Al-Athba","Qatar","Shooting","Shooting Men's Trap"
2012,"Rashid Salih Hamad Al-Athba","Qatar","Shooting","Shooting Men's Double Trap"
2012,"Nasser Salih Nasser Abdullah Al-Attiya","Qatar","Shooting","Shooting Men's Skeet"
2012,"Mohamed Mutlaq Khalaf Al-Azemi","Kuwait","Athletics","Athletics Men's 800 metres"
2012,"Mohanad Ahmed Dheyaa Al-Azzawi","Iraq","Swimming","Swimming Men's 100 metres Butterfly"
2012,"Mubarak Muhammad Salem Al-Besher","United Arab Emirates","Swimming","Swimming Men's 100 metres Breaststroke"
2012,"Sultan Mubarak M. Al-Dawoodi","Saudi Arabia","Athletics","Athletics Men's Discus Throw"
2012,"Fehaid Al-Deehani","Kuwait","Shooting","Shooting Men's Trap"
2012,"Fehaid Al-Deehani","Kuwait","Shooting","Shooting Men's Double Trap"
2012,"Humaid Rashd Al-Derei","United Arab Emirates","Judo","Judo Men's Half-Lightweight"
2012,"Ramzy Al-Duhami","Saudi Arabia","Equestrianism","Equestrianism Mixed Jumping, Individual"
2012,"Ramzy Al-Duhami","Saudi Arabia","Equestrianism","Equestrianism Mixed Jumping, Team"
2012,"Bahaa Al-Farra","Palestine","Athletics","Athletics Men's 400 metres"
2012,"Sara Abdulrahman Al-Flaij","Bahrain","Swimming","Swimming Women's 50 metres Freestyle"
2012,"Mostafa Muhammad Hisham Muhammad Salah Abdulhamid Al-Gamel","Egypt","Athletics","Athletics Men's Hammer Throw"
2012,"Nabil Mohammed Al-Garbi","Yemen","Athletics","Athletics Men's 1,500 metres"
2012,"Mohamad Al-Garni","Qatar","Athletics","Athletics Men's 1,500 metres"
2012,"Shinoona Salah Al-Habsi","Oman","Athletics","Athletics Women's 100 metres"
2012,"Bahya Mansour Al-Hamad","Qatar","Shooting","Shooting Women's Air Rifle, 10 metres"
2012,"Bahya Mansour Al-Hamad","Qatar","Shooting","Shooting Women's Small-Bore Rifle, Three Positions, 50 metres"
2012,"Hussain Jamaan Al-Hamdah","Saudi Arabia","Athletics","Athletics Men's 5,000 metres"
2012,"Ismail Salem Al-Hammadi","United Arab Emirates","Football","Football Men's Football"
2012,"Barakat Mubarak Al-Harthi","Oman","Athletics","Athletics Men's 100 metres"
2012,"Ibrahim Al-Hasan","Kuwait","Table Tennis","Table Tennis Men's Singles"
2012,"Ahmed bin Saalim Al-Hatmi","Oman","Shooting","Shooting Men's Double Trap"
2012,"Abdullah Abdulaziz Al-Joud","Saudi Arabia","Athletics","Athletics Men's 5,000 metres"
2012,"Hamdan Ismail Muhammad Al-Kamali","United Arab Emirates","Football","Football Men's Football"
2012,"Tameem Mohammed Ahmed Al-Kubati","Yemen","Taekwondo","Taekwondo Men's Flyweight"
2012,"Juma bin Dalmouk bin Juma bin Maktoum Al-Maktoum","United Arab Emirates","Shooting","Shooting Men's Double Trap"
2012,"Saeed bin Hasher Al-Maktoum","United Arab Emirates","Shooting","Shooting Men's Skeet"
2012,"Noor Hussain Al-Malki","Qatar","Athletics","Athletics Women's 100 metres"
2012,"Rand Saad Mahmood Al-Mashhadani","Iraq","Archery","Archery Women's Individual"
2012,"Mhasin Al-Noor Fadlalla","Sudan","Swimming","Swimming Women's 50 metres Freestyle"
2012,"Moukheld Mahil F. Al-Outaibi","Saudi Arabia","Athletics","Athletics Men's 5,000 metres"
2012,"Moukheld Mahil F. Al-Outaibi","Saudi Arabia","Athletics","Athletics Men's 10,000 metres"
